Città;Sessioni;% nuove sessioni;Nuovi utenti;Frequenza di rimbalzo;Pagine/sessione;Durata sessione media;Tasso di conversione all'obiettivo;Completamenti obiettivo;Valore obiettivo
Brescia;723371;22,42%;162186;40,47%;3,99;345,28;0,00%;0;0,00
Milan;362629;22,45%;81414;47,35%;3,10;233,32;0,00%;0;0,00
(not set);201851;27,09%;54684;42,45%;3,82;332,80;0,00%;0;0,00
Rome;134248;25,07%;33662;50,67%;2,81;191,21;0,00%;0;0,00
Bergamo;55925;28,69%;16046;45,49%;3,36;253,39;0,00%;0;0,00
Mantua;24390;21,71%;5295;41,72%;3,72;290,44;0,00%;0;0,00
Turin;22717;31,73%;7208;49,32%;3,15;221,09;0,00%;0;0,00
Cremona;15279;25,03%;3824;42,50%;3,83;321,95;0,00%;0;0,00
Desenzano del Garda;14981;26,77%;4011;39,02%;4,09;389,68;0,00%;0;0,00
Como;12323;26,20%;3229;45,92%;3,23;227,00;0,00%;0;0,00